==== Value feature statistics (timestamp: 1763434747, evaluations: 2958935) ====
Feature activation counts:
feature 3764: 2
feature 3765: 1
feature 3772: 14
feature 3773: 8
feature 3780: 7
feature 3787: 2
feature 3788: 10
feature 3789: 39
feature 3795: 47
feature 3802: 1
feature 3811: 165
feature 3812: 10
feature 3817: 1
feature 3823: 26
feature 3829: 4
feature 3830: 419
feature 3837: 1
feature 3866: 58
feature 3867: 3
feature 3868: 83
feature 3876: 3
feature 3885: 301
feature 3886: 41
feature 3887: 17
feature 3898: 7
feature 3906: 3
feature 3908: 24
feature 3910: 3
feature 3911: 55
feature 3912: 117
feature 3913: 15
feature 3914: 12
feature 3917: 2
feature 3919: 6
feature 3934: 5
feature 3938: 2
feature 3939: 12
feature 3940: 3
feature 3941: 333
feature 3942: 89
feature 3943: 824
feature 3944: 126
feature 3945: 102
feature 3947: 5
feature 3949: 1
feature 3951: 1
feature 3952: 1
feature 3953: 4
feature 3956: 1
feature 3960: 1
feature 3962: 1312
feature 3963: 8
feature 3964: 152
feature 3965: 65
feature 3966: 201
feature 3967: 120
feature 3968: 1735
feature 3969: 75
feature 3972: 21
feature 3973: 26
feature 3974: 4
feature 3975: 46
feature 3977: 3
feature 3978: 15
feature 3979: 2
feature 3982: 4
feature 3983: 1
feature 3989: 1
feature 3991: 5
feature 3994: 1
feature 3995: 4
feature 3999: 9
feature 4001: 3
feature 4002: 17
feature 4004: 51
feature 4005: 3
feature 4006: 19
feature 4007: 4
feature 4008: 19
feature 4009: 56
feature 4010: 15
feature 4011: 9
feature 4012: 2
feature 4013: 16
feature 4014: 1
feature 4015: 1
feature 4017: 1
feature 4019: 8
feature 4020: 3
feature 4021: 5
feature 4028: 4
feature 4030: 1
feature 4031: 61
feature 4036: 4
feature 4037: 7
feature 4038: 3
feature 4039: 5
feature 4041: 2
feature 4044: 2
feature 4045: 1
feature 4047: 2
feature 4049: 3
feature 4050: 14
feature 4051: 14
feature 4052: 2
feature 4053: 3
feature 4054: 5
feature 4055: 173
feature 4057: 139
feature 4060: 2
feature 4061: 2
feature 4062: 30
feature 4063: 14
feature 4064: 39
feature 4065: 15
feature 4072: 1
feature 4074: 5
feature 4075: 5
feature 4076: 32
feature 4077: 18
feature 4078: 18
feature 4091: 1
feature 4099: 1
feature 4101: 8
feature 4107: 1
feature 4109: 10
feature 4118: 17
feature 4120: 2
feature 4121: 29
feature 4122: 42
feature 4123: 1
feature 4124: 1010
feature 4125: 6
feature 4146: 1
feature 4148: 48
feature 4155: 1
feature 4158: 1
feature 4161: 9
feature 4163: 1
feature 4170: 1
feature 4172: 1
feature 4193: 1
feature 4538: 11
feature 4543: 4
feature 4546: 2
feature 4550: 1331156
feature 4551: 642551
feature 4552: 9246
feature 4553: 71370
feature 4554: 213851
feature 4555: 5655
feature 4556: 156
feature 4557: 139
feature 4560: 12
feature 4565: 443
feature 4567: 2
feature 4569: 8
feature 4571: 507232
feature 4572: 1768569
feature 4573: 389511
feature 4574: 46409
feature 4575: 18205
feature 4576: 386
feature 4577: 132
feature 4579: 413
feature 4581: 103
feature 4586: 477
feature 4587: 15
feature 4593: 1
feature 4594: 3
feature 4601: 9600
feature 4602: 1919
feature 4603: 11524
feature 4604: 8203
feature 4605: 20
